ym:s:visitID,ym:s:date,ym:s:watchIDs,version
4086948976595828896,2022-07-19,"[4086948976595828896,4086995461755633892,4086995820934070346,4086996052665172196,4086996587738300644,4086996845338820682,4086997102810104036,4086997318019317988,4086997705971728515,4086997874307760288,4086998020625793184,4086998110807785700,4087000311198908547,4087005952836632804,4087006201234587779,4087009050655719584,4087009331489800323,4087009570108735648,4087012566620962890,4087017072443785290,4087017322642669699,4087017411132522570,4087017535600066720,4087019409310220516,4087020721498226916,4087021742927380554,4087023713574191178,4087023803632189668,4087028905260089475,4087033493135032548,4087034112894566474,4087076829099458634,4087076989799760100,4087367470533574730,4087370998820896928,4087371627602641056,4086953581041942659]",v1
3846961264784834628,2022-07-08,"[3846961264784834628,3846961603422978116,3846963517495967987,3846964204376948979,3846966152063090931,3846966598986104900,3846965537710538820]",v1
1255768063759351818,2022-03-16,"[1255768063759351818,1255777243723464888,1255805774229405880,1255806081197670584,1255771976895562011]",v1
3722714943091900734,2022-07-03,"[3722714943091900734,3722718956876726550]",v1
3842343830427533507,2022-07-08,"[3842343830427533507,3842345027322249467,3842345031949877499,3842349244087009341]",v1
3768809877680947223,2022-07-05,"[3768809877680947223,3768813811983712623]",v1
7711724452924096743,2022-12-26,"[7711724452924096743,7711728369991155728]",v1
4277877081248366779,2022-07-28,"[4277877081248366779,4277878649278693563,4277879192273027088,4277879197451944123,4277879440848978186,4277879841225441467,4277880146679562378,4277880426809524411,4277880927554896059,4277880931784851472,4277885706451812618,4277885711642263818,4277885945078087696,4277886195465191690,4277886435485810954,4277886439486914747,4277886605012500618,4277886611342753930,4277886769688215690,4277887216824090762,4277971089119510715,4277971984890986512,4277972496202596618,4277972503686545546,4277972773646368955,4277972776222982160,4277972950639182011,4277972962154381578,4277973111573839888,4277973118784372874,4277973298772181130,4277973305984811274,4277973519476457659,4277973529461784842,4277973654361080074,4277973662073356475,4277973798190055611,4277973808678436880,4277974131795558666,4277974445340491792,4277974618936442896,4277975007541330107,4277975238878691466,4277975243881709584,4277975798589161488,4277975989556084923,4277976232661876752,4277976469351956667,4278145342563418378,4278145750536814858,4278146087186595856,4278146093161120010,4278146569465233546,4278146579928186896,4278146758151241866,4278146789674320010,4278146843872067771,4278148872191606922,4278149021477110026,4278149176217305104,4278150877576953872,4278151308002721808,4278151737330892938,4278151748321280266,4278151811151954107,4278152044322750651,4278152524351930384,4278152858926055440,4278153336055398666,4278153504669827259,4278153735886864571,4278154034362974346,4278154237632315579,4278168939069440266,4278169467162198154,4278169844730822672,4278170124656574602,4278170266444497083,4278170414125678730,4278170565833392315,4278170823006355643,4278189720649597066,4278190021351309450,4278193677351780490,4278194860040913162,4278195401240609034,4278195402881630224,4278195603954991370,4278196254345789456,4278196260442472714,4278196475867955216,4278196487803109563,4278196616885960842,4278196624219963530,4278197084483485962,4278197231854551227,4278197445264670858,4278197980762472635,4278198391480778939,4278198599137886224,4278198823333134352,4278199094665281674,4278199097158008848,4278199257234145418,4278199925369733307,4278199929501384720,4278590059074027786,4278590066863374474,4278590434720612539,4277883757405143056]",v1
3888883994281115840,2022-07-10,"[3888883994281115840,3888884929798340891,3888962231206412480,3888962715121877165,3888977372203712624,3888977376188301424,3888888824743329984]",v1
373069999639363618,2022-02-05,"[373069999639363618,373073938674876582]",v1
4361090858206101533,2022-07-31,"[4361090858206101533,4361093581198065924,4361093817013633053,4361094409044361497,4361097848302862596,4361101528675909892,4361101537463238916,4361102022101696772,4361103512602673412,4361107475889914116,4361107692906348573,4361108480745275652,4361111846586155037,4361113983462146329,4361113986429616166,4361114431870730500,4361117973019361561,4361117974896574502,4361118459344453670,4361124402731417629,4361125307826831389,4361125472601899268,4361126749237936166,4361126964438761510,4361127746016641062,4361130688900235302,4361097680938074393,4361122410244604185]",v1
2669171829869641764,2022-05-17,"[2669171829869641764,2669172517831180308]",v1
4455127120992272718,2022-08-04,"[4455127120992272718,4455136611566616740,4455132364755959885]",v1
